Unnamed: 0,Age at BMT,Age at S1K,Days postBMT,Lamis ID,total_FM,fd_FM,frac_Ki67+_FM_donor,frac_Ki67+_FM_host,total_T2_MZP,fd_T2_MZP,frac_Ki67+_T2_MZP_donor,frac_Ki67+_T2_MZP_host,total_MZ,fd_MZ,frac_Ki67+_MZ_donor,frac_Ki67+_MZ_host,ratio_MZ_Ki67+_host_to_donor,ratio_MZ_Ki67+_donor_to_host,T1_AA4.1+_host,total_T1_AA4.1+,fd_T1_AA4.1+,frac_Ki67+_T1_AA4.1+_donor,frac_Ki67+_T1_AA4.1+_host,Nfd_MZ,total_T1,fd_T1,frac_Ki67+_T1_donor,frac_Ki67+_T1_host,Ki67+_T2_host,total_T2,fd_T2,frac_Ki67+_T2_donor,frac_Ki67+_T2_host
20190312_SPLEEN_54d_004_020.fcs,41,119,54,882098,25726668.10714286,0.3394161209096775,0.22496425267053577,0.11745639358998738,1999211.7857142857,0.21520940484937548,0.16046432229429838,0.09390506506881378,1948093.0714285714,0.11664907253807873,0.22042663219133807,0.379086641058472,1.7197860226318364,0.5814676865844463,288056.89285714284,735345.6428571428,0.6082700759089094,0.9947454844006568,0.987251402345742,0.19177184142056553,546882.1071428572,0.599785119527263,1.0,0.9953020134228188,212407.07142857142,510599.5714285715,0.5555235903337169,0.9808389435525634,0.9359223300970874
20190205_MV61_BuChi_12w_Spleen_001_028.fcs,41,123,82,848700,28495764.895330112,0.5912488055122466,0.12097858078565475,0.08429717491879123,1336003.2206119162,0.45612529500107274,0.12535277516462842,0.08047337278106509,2377632.850241546,0.2541289933694997,0.16057874762808347,0.15532568288346535,0.9672866750911226,1.033819679058223,412610.305958132,1492505.6360708533,0.72354522757826,0.989515593895156,0.96040291767975,0.35122751651625345,1034893.7198067633,0.7289849051377925,0.9910714285714286,0.964741951967297,577138.4863123994,2947462.157809984,0.6485461441213654,0.6888588993852152,0.5571389042612065
20190205_MV61_BuChi_12w_Spleen_002_029.fcs,42,124,82,848702,32823904.141104296,0.10080783141662876,0.10329566450393159,0.06744961270183822,1415381.1349693253,0.062280261175288794,0.20645161290322578,0.13144081414033207,4255527.147239264,0.02826500952190037,0.23404255319148937,0.13364277118789752,0.5710191132573803,1.7512548648249213,715012.7300613497,888469.7852760736,0.19523123699791967,0.9786885245901641,0.9361702127659575,0.14477708565766836,660558.5889570551,0.19177787343951788,0.9831649831649831,0.9430093209054595,864157.3619631901,2260771.012269939,0.12615558769888685,0.5837487537387837,0.4374235336451961
20190312_SPLEEN_90d_002_019.fcs,51,141,90,860235,33361891.135135133,0.8605790034723322,0.12867462196004367,0.06710825132475397,1837476.1621621624,0.7297116029510395,0.09676995798319328,0.05033676001417937,2175676.0,0.6117494740249232,0.1349206349206349,0.26990412671946645,2.0004658803913395,0.4998835570264141,44541.67567567567,1416883.027027027,0.9685636182902584,0.9892238614496474,0.9565217391304348,0.6316048450227816,1266884.972972973,0.9591439688715954,0.9997102289191538,0.9829931972789115,22887.027027027027,703864.1081081082,0.9617308654327164,0.9685305591677502,0.8496732026143791
20190312_SPLEEN_117d_001_018.fcs,65,158,117,848702,31685194.397394136,0.3002587708665723,0.09808670834976249,0.11078973235147198,2608561.9543973943,0.24371704444292266,0.09187974150042147,0.07950018109380659,3396507.3615635177,0.19448827179972653,0.15332612222823147,0.2795769130321233,1.8234134469008676,0.5484219729209698,660223.5830618893,925491.986970684,0.2866242038216561,0.9865319865319864,0.975108225108225,0.6785479705012679,727031.9218241042,0.30171990171990176,0.996742671009772,0.994018296973962,365123.64820846904,528214.5928338763,0.26141359485965504,0.9404915912031048,0.9358974358974358
20190620_SPLEEN_22wks_004_020.fcs,65,219,154,882101,26285110.03125,0.8715705418966639,0.08222142508512052,0.06648575305291723,2031558.75,0.819893899204244,0.08993853121967,0.05191458026509573,3127495.78125,0.7246607796683179,0.16691434345836056,0.09308510638297872,0.5576818891313572,1.7931369468669593,109122.1875,1208292.46875,0.9096889285316089,0.9942394901335948,0.9703703703703703,0.7966028352549508,1023997.21875,0.9054071832653598,0.995931415286254,0.9916550764951322,144418.5,1351498.5,0.8849681020733652,0.9552827213336337,0.92894280762565
20190620_SPLEEN_22wks_005_021.fcs,58,212,154,882113,31419152.906110283,0.9516340085799944,0.05303465441317251,0.026712328767123292,1209059.4634873325,0.9071344022382438,0.08766310794780545,0.04634994206257242,1435050.6706408344,0.8572076155938351,0.1593865679534638,0.09904761904761906,0.6214301513571587,1.6091913110686245,13010.432190760059,582737.257824143,0.9776735878544318,0.9714546700159854,0.7300000000000001,0.8767830349953841,416073.62146050675,0.9815509693558474,0.9904428161834979,0.9661016949152542,7025.633383010432,402933.0849478391,0.9728769777203745,0.8396946564885496,0.6428571428571429
20190620_SPLEEN_27wks_003_019.fcs,101,291,190,860234,34344898.66270431,0.9282408402470304,0.05221181107629294,0.047790202342917996,1760002.3774145616,0.8993382421474508,0.11628147994610841,0.06574074074074074,2977847.251114413,0.8689472814410841,0.14295676429567644,0.10256410256410255,0.7174484052532831,1.3938284518828457,61023.476968796436,919453.1946508173,0.9336306868867082,0.9826103573476017,0.9381720430107527,0.9307184239398578,799046.6567607726,0.9349209607883392,0.992314448836188,0.9652996845425867,62499.851411589894,1051014.5616641901,0.9308568752926487,0.9082830315224681,0.8600451467268623
20190620_SPLEEN_31wks_001_017.fcs,89,306,217,832605,33652044.755244754,0.7969491312407704,0.05859238962592075,0.06916827852998066,2025339.86013986,0.7538501696684938,0.09452908587257619,0.08377518557794274,2411446.153846154,0.7026454253142356,0.14102964118564743,0.10420250675841732,0.7388695446033794,1.35341889147264,211644.75524475524,980509.0909090908,0.7841480948957585,0.9846435938574376,0.9250624479600332,0.8960621467908334,768511.8881118881,0.7869754643430407,0.9953379953379953,0.9795479009687835,310153.8461538461,1323793.006993007,0.7388178913738019,0.9232432432432431,0.8970438328236493
20190620_SPLEEN_31wks_002_018.fcs,89,306,217,832608,35754391.36577708,0.6968229123521436,0.03743492842126339,0.042639170513539555,1310541.7582417582,0.6588557154751993,0.09351868568333634,0.07670850767085077,1674381.9466248038,0.6086956521739131,0.13872743958397063,0.12514870330716155,0.9021193188778636,1.108500814774579,289949.7645211931,885282.1036106751,0.6724775488642366,0.9840272322597537,0.9467741935483871,0.9051538645445542,744516.1695447409,0.6727386934673367,0.9947089947089948,0.9859245041586693,321594.81946624804,942024.9607535321,0.5988747310938276,0.8582481348438795,0.8510726072607261
20181129_Bcells_SPLEEN_90wks_003_021.fcs,87,731,644,408781,34269634.478527606,0.865345818805173,0.07771608764789908,0.0752576426777518,1475041.3496932515,0.8339203467894879,0.09129304743339832,0.07748776508972267,2689322.8834355827,0.8116501968942714,0.09447088978396193,0.08007889546351085,0.8476568353133648,1.1797226876962732,173640.06134969325,1352554.171779141,0.8716206234303442,0.9696610169491526,0.8642117376294591,0.9311966411486989,966709.5705521472,0.8875568416701116,0.983698183511877,0.9797794117647058,99508.34355828221,892777.6687116565,0.8692927484333035,0.8916065911431514,0.8527397260273972
20181129_Bcells_SPLEEN_90wks_004_022.fcs,87,731,644,408783,10457128.788368337,0.9082867327250728,0.05122504455525752,0.044660367266892494,1967786.1712439419,0.8902984750401877,0.09706226820222526,0.05504950495049504,1257854.5395799677,0.8711343709644532,0.08793009284543964,0.10917721518987343,1.2416365280289334,0.80538867649736,24878.384491114703,111568.01292407108,0.7770114942528735,0.8856015779092703,0.4398625429553264,1.1211344715075064,110884.07108239096,0.8303777949113338,0.8672237697307336,0.7181818181818183,5386.042003231018,110114.6365105008,0.9006211180124224,0.5560344827586207,0.4921875
