mouse,age.at.S1K,MZ_Ki67+,T1 AA4.1+_Ki67+,MZ_total,T1 AA4.1+_total,frac_MZ_Ki67+,frac_T1_AA4.1+_Ki67+
X20181120_MV60_d26_SPLEEN_002_017.fcs,26,65963.07692307692,1434900.512820513,629988.1025641026,4257468.717948718,0.10470527404343329,0.3370313695485846
X20181120_MV60_d26_SPLEEN_003_018.fcs,26,50990.58064516129,2536689.6774193547,641967.7419354839,7539452.580645162,0.07942857142857142,0.33645541904877746
X20181120_MV60_d26_SPLEEN_004_019.fcs,26,3413.0769230769233,14711.538461538463,471828.46153846156,4509263.076923077,0.007233724120728362,0.003262515007569035
X20181120_MV60_d26_SPLEEN_005_020.fcs,26,7467.760652468823,8836.850105421441,694003.889969436,3218231.4531814395,0.010760401721664275,0.0027458715241520672
X20190201_Spleen_27d_005_015.fcs,27,88598.28648403139,598631.2446865088,699301.3171634983,1799773.9509858345,0.12669543773119607,0.33261468439334047
X20190103_Spleen_d28_007_019.fcs,28,110242.35385210994,1972566.0085172278,740168.0216802168,5123266.744096012,0.14894233555491163,0.385021141206514
X20190103_Spleen_d28_008_020.fcs,28,121168.54838709677,1720838.1720430108,721870.806451613,3539427.1326164873,0.16785350966429297,0.48619115680759833
X20190108_Spleen_d29_003_003.fcs,29,46432.394366197186,1032627.7665995975,591699.2957746478,4542038.32997988,0.07847295864262992,0.22734897673225313
X20190108_Spleen_d29_004_004.fcs,29,61130.11173184357,1543028.8826815642,608679.5530726258,4846676.480446927,0.1004306969459671,0.318368450815037
Samples_SPLEEN_001_017.fcs,31,26837.234519892314,643911.6811247383,299303.3951540532,1338677.647322764,0.08966565349544074,0.4810057764186205
Samples_SPLEEN_002_018.fcs,31,11591.809954751132,17312.44343891403,738011.9004524887,2636158.2352941176,0.015706806282722516,0.006567300553937526
Samples_SPLEEN_003_019.fcs,31,10542.067039106145,8724.469273743016,410090.44692737435,951007.5418994413,0.02570668767851866,0.009173922276491824
Samples_SPLEEN_004_020.fcs,31,30897.339901477833,701909.2610837439,383042.3645320197,1674328.9655172413,0.08066298342541436,0.4192182513350397
X20190108_Spleen_d33_005_005.fcs,33,4779.257540603248,4127.54060324826,1165487.1229698376,4258318.468677495,0.004100652376514445,0.0009692888480767267
X20190108_Spleen_d33_006_006.fcs,33,6619.53488372093,7777.9534883720935,904890.4186046511,2804696.930232558,0.00731528895391368,0.0027731885768232244
Samples_SPLEEN_011_026.fcs,36,10085.83468395462,414340.1620745543,284983.4683954619,1852079.805510535,0.03539094650205762,0.22371614918631402
Samples_Spleen_001_5wks_016.fcs,39,2413.6823734729496,3318.8132635253055,848183.0715532285,2257698.15008726,0.0028457092040907075,0.0014699986636375784
X20181210_Spleen_d43_001_054.fcs,43,12639.669421487604,568785.1239669422,1280904.0991735535,5999671.884297521,0.009867771857114667,0.09480270503718373
X20190129_Spleen_45d_002_002.fcs,53,47178.94736842105,331769.0977443609,2654489.77443609,1577798.7969924812,0.017773263932969404,0.21027338744126442
X20190201_Spleen_57d_006_016.fcs,57,63235.64189189189,981979.2567567568,1400739.7297297297,1796173.277027027,0.045144462279293744,0.5467063057424504
X20180907_TH283_Bcells_SP_002.fcs,71,74632.21327967806,615670.1408450705,4400745.935613682,2630922.3742454727,0.016958991582701,0.23401303925648498
X20181023_MV60_Bcells_SPL_001.fcs,113,24385.123152709362,473.4975369458128,3857821.1822660095,534105.2216748769,0.006320957348880026,0.0008865248226950353
X20181120_MV60_d26_SPLEEN_006_021.fcs,152,60469.63917525773,242620.51546391755,2794958.6597938146,1176993.9175257732,0.02163525351738784,0.20613574280310992
X20181120_MV60_d26_SPLEEN_007_022.fcs,152,240078.29145728645,679538.2914572865,4180706.3316582916,1250079.1457286433,0.05742529429520073,0.543596214511041
